iter	Passed	Remaining
0	12	12869
1	16	8120
2	19	6315
3	21	5384
4	23	4755
5	26	4384
6	28	4077
7	31	3885
8	34	3747
9	36	3601
10	38	3484
11	41	3382
12	43	3316
13	45	3234
14	48	3185
15	51	3146
16	53	3088
17	55	3041
18	57	2991
19	60	2944
20	62	2901
21	64	2879
22	67	2849
23	69	2829
24	71	2807
25	74	2777
26	76	2750
27	78	2725
28	80	2711
29	83	2692
30	85	2676
31	88	2666
32	90	2659
33	93	2648
34	95	2628
35	97	2622
36	100	2613
37	102	2600
38	105	2593
39	107	2583
40	109	2571
41	112	2568
42	114	2556
43	117	2555
44	120	2548
45	122	2537
46	125	2535
47	128	2546
48	130	2537
49	132	2526
50	135	2521
51	137	2511
52	140	2502
53	142	2492
54	144	2482
55	146	2473
56	149	2472
57	151	2464
58	154	2464
59	156	2457
60	160	2467
61	164	2487
62	167	2494
63	170	2498
64	173	2502
65	176	2504
66	181	2524
67	184	2524
68	186	2517
69	188	2507
70	191	2500
71	193	2491
72	196	2492
73	199	2493
74	201	2485
75	203	2479
76	206	2473
77	209	2470
78	211	2463
79	214	2464
80	216	2457
81	218	2450
82	221	2443
83	223	2438
84	226	2434
85	228	2428
86	230	2421
87	232	2414
88	235	2408
89	237	2403
90	240	2397
91	242	2391
92	244	2389
93	247	2383
94	249	2380
95	252	2374
96	254	2367
97	256	2364
98	259	2360
99	262	2358
100	264	2357
101	267	2352
102	269	2347
103	271	2342
104	274	2340
105	277	2336
106	279	2335
107	282	2330
108	284	2325
109	286	2319
110	289	2314
111	291	2308
112	293	2303
113	295	2298
114	298	2295
115	301	2294
116	303	2289
117	305	2284
118	308	2281
119	310	2278
120	312	2273
121	315	2271
122	318	2269
123	320	2265
124	322	2260
125	325	2256
126	327	2251
127	330	2248
128	332	2245
129	334	2241
130	337	2236
131	339	2231
132	342	2233
133	346	2239
134	349	2241
135	353	2243
136	356	2244
137	359	2246
138	362	2246
139	365	2246
140	369	2249
141	373	2256
142	381	2284
143	385	2292
144	390	2302
145	394	2305
146	397	2306
147	400	2306
148	404	2311
149	408	2314
150	411	2314
151	413	2309
152	416	2306
153	420	2308
154	423	2306
155	425	2301
156	427	2297
157	430	2293
158	433	2291
159	436	2290
160	440	2297
161	443	2294
162	445	2289
163	448	2284
164	450	2279
165	453	2276
166	455	2272
167	458	2268
168	460	2263
169	462	2260
170	465	2254
171	467	2251
172	470	2247
173	472	2242
174	475	2239
175	477	2237
176	480	2234
177	483	2232
178	486	2230
179	488	2226
180	491	2222
181	493	2218
182	496	2214
183	498	2210
184	500	2207
185	503	2203
186	505	2199
187	508	2196
188	511	2196
189	513	2190
190	516	2189
191	520	2188
192	522	2186
193	526	2188
194	530	2189
195	533	2189
196	536	2187
197	538	2181
198	540	2176
199	543	2172
200	546	2172
201	549	2170
202	553	2172
203	556	2171
204	559	2168
205	562	2167
206	565	2164
207	572	2178
208	574	2175
209	577	2171
210	579	2167
211	584	2173
212	587	2169
213	590	2167
214	592	2163
215	594	2159
216	600	2166
217	602	2162
218	606	2161
219	608	2157
220	612	2158
221	614	2154
222	617	2151
223	620	2148
224	622	2145
225	627	2147
226	629	2143
227	632	2141
228	634	2136
229	637	2133
230	640	2133
231	643	2129
232	645	2125
233	648	2121
234	650	2119
235	654	2118
236	656	2114
237	659	2111
238	662	2107
239	664	2103
240	667	2102
241	670	2100
242	673	2099
243	676	2096
244	679	2093
245	682	2092
246	686	2091
247	689	2091
248	692	2089
249	695	2086
250	697	2082
251	700	2080
252	705	2083
253	708	2080
254	711	2078
255	714	2077
256	719	2081
257	729	2096
258	733	2097
259	736	2096
260	740	2096
261	743	2093
262	748	2098
263	751	2094
264	754	2092
265	757	2090
266	762	2092
267	764	2087
268	767	2084
269	769	2080
270	772	2077
271	776	2079
272	779	2075
273	782	2072
274	784	2068
275	787	2064
276	791	2064
277	793	2061
278	796	2057
279	798	2053
280	801	2050
281	803	2046
282	806	2043
283	808	2039
284	811	2036
285	814	2032
286	816	2028
287	818	2024
288	821	2021
289	824	2017
290	826	2013
291	829	2010
292	832	2009
293	835	2005
294	837	2002
295	840	1998
296	844	1998
297	847	1995
298	849	1992
299	854	1992
300	856	1989
301	859	1986
302	864	1987
303	866	1983
304	868	1980
305	871	1976
306	873	1972
307	876	1969
308	879	1966
309	881	1962
310	884	1958
311	886	1955
312	890	1953
313	893	1951
314	896	1948
315	899	1948
316	903	1946
317	905	1942
318	909	1941
319	911	1937
320	914	1933
321	916	1929
322	918	1925
323	920	1920
324	923	1917
325	925	1913
326	928	1910
327	930	1906
328	933	1903
329	935	1899
330	938	1896
331	940	1892
332	943	1888
333	945	1884
334	947	1880
335	950	1877
336	953	1874
337	955	1871
338	957	1867
339	960	1864
340	962	1860
341	965	1857
342	967	1854
343	970	1850
344	972	1846
345	975	1843
346	977	1840
347	980	1836
348	982	1833
349	985	1829
350	988	1826
351	992	1827
352	1003	1839
353	1006	1836
354	1010	1835
355	1014	1835
356	1018	1833
357	1022	1833
358	1026	1832
359	1044	1856
360	1103	1954
361	1146	2021
362	1152	2022
363	1157	2021
364	1160	2019
365	1164	2017
366	1168	2016
367	1173	2014
368	1176	2011
369	1179	2007
370	1181	2003
371	1184	1999
372	1186	1994
373	1189	1991
374	1192	1986
375	1194	1982
376	1197	1979
377	1200	1975
378	1203	1971
379	1205	1967
380	1208	1962
381	1210	1958
382	1213	1954
383	1215	1950
384	1218	1946
385	1220	1942
386	1223	1937
387	1225	1933
388	1227	1928
389	1230	1923
390	1232	1919
391	1235	1915
392	1237	1911
393	1239	1907
394	1242	1902
395	1244	1898
396	1247	1894
397	1249	1890
398	1252	1885
399	1254	1881
400	1256	1877
401	1259	1874
402	1262	1870
403	1265	1866
404	1267	1862
405	1270	1858
406	1273	1854
407	1275	1850
408	1277	1846
409	1280	1842
410	1283	1838
411	1286	1835
412	1289	1833
413	1293	1830
414	1296	1827
415	1299	1824
416	1302	1820
417	1304	1816
418	1307	1813
419	1310	1809
420	1313	1805
421	1316	1802
422	1318	1799
423	1321	1795
424	1324	1792
425	1327	1788
426	1330	1784
427	1332	1780
428	1334	1776
429	1337	1772
430	1339	1768
431	1341	1764
432	1344	1760
433	1347	1756
434	1349	1752
435	1351	1748
436	1354	1744
437	1356	1740
438	1359	1736
439	1361	1733
440	1364	1729
441	1366	1725
442	1369	1721
443	1371	1717
444	1374	1714
445	1377	1710
446	1379	1706
447	1381	1702
448	1384	1698
449	1386	1694
450	1389	1691
451	1392	1688
452	1395	1684
453	1397	1681
454	1400	1677
455	1403	1673
456	1405	1670
457	1408	1666
458	1410	1662
459	1413	1658
460	1415	1655
461	1417	1651
462	1420	1647
463	1422	1643
464	1425	1639
465	1427	1636
466	1430	1632
467	1432	1628
468	1435	1624
469	1437	1620
470	1439	1617
471	1442	1613
472	1444	1609
473	1446	1605
474	1448	1601
475	1451	1597
476	1453	1593
477	1456	1590
478	1458	1586
479	1460	1582
480	1463	1578
481	1466	1575
482	1468	1571
483	1470	1567
484	1473	1564
485	1477	1562
486	1480	1559
487	1483	1556
488	1487	1554
489	1490	1551
490	1493	1548
491	1496	1544
492	1498	1540
493	1500	1537
494	1503	1533
495	1506	1531
496	1509	1527
497	1511	1523
498	1514	1520
499	1516	1516
500	1519	1513
501	1522	1509
502	1524	1506
503	1527	1503
504	1530	1499
505	1532	1496
506	1535	1492
507	1537	1489
508	1539	1485
509	1542	1481
510	1546	1479
511	1548	1475
512	1551	1472
513	1553	1469
514	1557	1466
515	1559	1463
516	1562	1459
517	1567	1458
518	1569	1454
519	1572	1451
520	1575	1448
521	1578	1445
522	1582	1442
523	1584	1439
524	1588	1437
525	1590	1433
526	1593	1430
527	1596	1426
528	1598	1423
529	1601	1420
530	1604	1416
531	1606	1413
532	1610	1411
533	1616	1410
534	1619	1407
535	1621	1404
536	1627	1402
537	1630	1400
538	1632	1396
539	1635	1393
540	1639	1390
541	1641	1387
542	1645	1384
543	1648	1381
544	1650	1378
545	1655	1376
546	1659	1374
547	1662	1371
548	1665	1368
549	1668	1365
550	1673	1363
551	1676	1360
552	1681	1359
553	1688	1359
554	1690	1355
555	1694	1353
556	1697	1349
557	1701	1348
558	1704	1344
559	1707	1341
560	1709	1337
561	1712	1334
562	1715	1331
563	1717	1327
564	1720	1324
565	1722	1320
566	1724	1317
567	1727	1313
568	1730	1310
569	1732	1306
570	1735	1303
571	1737	1300
572	1740	1296
573	1743	1293
574	1745	1290
575	1747	1286
576	1750	1283
577	1753	1280
578	1755	1276
579	1758	1273
580	1760	1269
581	1763	1266
582	1766	1263
583	1768	1259
584	1771	1256
585	1773	1253
586	1776	1249
587	1778	1246
588	1781	1242
589	1783	1239
590	1786	1236
591	1788	1232
592	1791	1229
593	1794	1226
594	1796	1223
595	1799	1219
596	1801	1216
597	1803	1212
598	1806	1209
599	1809	1206
600	1811	1202
601	1814	1199
602	1816	1196
603	1819	1192
604	1822	1189
605	1824	1186
606	1826	1182
607	1829	1179
608	1833	1176
609	1836	1173
610	1839	1170
611	1842	1167
612	1846	1165
613	1848	1162
614	1850	1158
615	1853	1155
616	1855	1151
617	1858	1148
618	1861	1145
619	1863	1142
620	1866	1139
621	1868	1135
622	1870	1132
623	1873	1128
624	1875	1125
625	1877	1121
626	1880	1118
627	1882	1115
628	1885	1111
629	1887	1108
630	1889	1105
631	1892	1101
632	1894	1098
633	1896	1095
634	1899	1091
635	1901	1088
636	1903	1084
637	1906	1081
638	1908	1078
639	1911	1075
640	1913	1071
641	1915	1068
642	1918	1065
643	1920	1061
644	1923	1058
645	1925	1055
646	1928	1052
647	1930	1048
648	1933	1045
649	1936	1042
650	1938	1039
651	1941	1036
652	1943	1032
653	1945	1029
654	1948	1026
655	1950	1022
656	1952	1019
657	1955	1016
658	1957	1013
659	1960	1009
660	1963	1006
661	1965	1003
662	1968	1000
663	1970	997
664	1972	993
665	1975	990
666	1978	987
667	1980	984
668	1983	981
669	1986	978
670	1989	975
671	1991	972
672	1994	969
673	1997	966
674	2000	963
675	2003	960
676	2006	957
677	2008	954
678	2011	950
679	2014	948
680	2017	945
681	2020	942
682	2024	939
683	2026	936
684	2030	933
685	2034	931
686	2037	928
687	2040	925
688	2042	922
689	2045	918
690	2047	915
691	2049	912
692	2052	909
693	2055	906
694	2057	903
695	2060	899
696	2063	896
697	2065	893
698	2068	890
699	2070	887
700	2073	884
701	2075	880
702	2077	877
703	2080	874
704	2082	871
705	2084	868
706	2087	865
707	2089	861
708	2092	858
709	2095	855
710	2097	852
711	2100	849
712	2102	846
713	2105	843
714	2107	840
715	2109	836
716	2112	833
717	2114	830
718	2117	827
719	2119	824
720	2121	821
721	2124	818
722	2127	814
723	2129	811
724	2131	808
725	2133	805
726	2136	802
727	2138	799
728	2141	796
729	2144	793
730	2146	789
731	2148	786
732	2151	783
733	2153	780
734	2155	777
735	2158	774
736	2161	771
737	2163	768
738	2166	765
739	2168	762
740	2171	759
741	2174	756
742	2177	753
743	2179	750
744	2182	746
745	2184	743
746	2187	740
747	2189	737
748	2192	734
749	2196	732
750	2199	729
751	2202	726
752	2205	723
753	2207	720
754	2211	717
755	2213	714
756	2216	711
757	2220	708
758	2223	706
759	2226	703
760	2228	699
761	2231	696
762	2234	694
763	2237	691
764	2239	687
765	2241	684
766	2244	681
767	2246	678
768	2249	675
769	2252	672
770	2254	669
771	2256	666
772	2258	663
773	2261	660
774	2263	657
775	2265	654
776	2268	650
777	2270	647
778	2273	644
779	2276	642
780	2279	639
